Label,Michael,Jim,Pam,Dwight,Andy,Pete,Robert,Angela,Nellie,Jan,Holly,Oscar,Jo,Phyllis,Meredith,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 5 Episode 6,18.20809249,30.05780347,8.670520231,24.56647399,7.514450867,0,0,1.734104046,0,0,0,0,0,0,0,1.734104046,0,0.289017341,0,6.647398844,0,0,0,0,0,0,0,0,0,0.578034682
Season 5 Episode 7,25.66666667,7.333333333,4.666666667,5.333333333,23,0,0,3.333333333,0,0,0,12.66666667,0,0.666666667,1.666666667,4,4.666666667,0,0,5,0,0,0.333333333,0,0,0,0,0,1,0.666666667
Season 5 Episode 8,32.96703297,11.35531136,9.523809524,13.91941392,2.197802198,0,0,0.732600733,0,0,0,1.098901099,0,1.098901099,0.732600733,6.593406593,4.029304029,0,0,3.663003663,0,0,0.732600733,0,10.62271062,0,0,0,0,0.732600733
Season 5 Episode 9,32.25806452,10,18.70967742,9.35483871,5.806451613,0,0,7.419354839,0,0,0,10,0,0.64516129,0.322580645,0,1.935483871,0,0,0.322580645,0,0,0.322580645,0,0.64516129,0,0,0,1.290322581,0.967741935
Season 5 Episode 10,27.89699571,11.15879828,2.575107296,11.58798283,3.004291845,0,0,5.150214592,0,0,0,2.145922747,0,8.154506438,15.45064378,0,0,2.575107296,0,0.429184549,0,0,0.429184549,0,6.43776824,0,0,0,1.716738197,1.287553648
Season 5 Episode 11,17.99307958,11.76470588,3.114186851,22.83737024,22.49134948,0,0,7.612456747,0,0,0,3.460207612,0,1.038062284,2.076124567,0,2.76816609,0,0,0.692041522,0,0,0.692041522,0,0,0,0,0,0.692041522,2.76816609
Season 5 Episode 12,39.13043478,6.086956522,2.173913043,31.73913043,2.173913043,0,0,1.304347826,0,0,0,1.304347826,0,1.739130435,0.869565217,0,3.913043478,0,0,0.869565217,0,0,0.434782609,0,0,0,0,0,2.173913043,6.086956522
Season 5 Episode 13,30.78947368,9.210526316,8.421052632,19.21052632,6.052631579,0,0,4.210526316,0,0,0,2.894736842,0,2.894736842,0.789473684,0,2.631578947,1.578947368,0,0.789473684,0,0,1.052631579,0,0,0,0,0,7.368421053,2.105263158
Season 5 Episode 14,25,15.45454545,15.90909091,11.36363636,12.27272727,0,0,0,0,0,0,0.454545455,0,1.363636364,0,0,0,0,0,3.636363636,0,0,2.272727273,0,0,0,0,9.090909091,3.181818182,0
Season 5 Episode 15,21.18644068,13.98305085,16.10169492,13.98305085,0,0,0,7.627118644,0,0,0,5.508474576,0,0.423728814,3.813559322,0,0,0,0,7.627118644,0,0,0.847457627,0,0,0,0,0.847457627,0.847457627,7.203389831
Season 5 Episode 16,35.83333333,14.16666667,13.33333333,12.91666667,0,0,0,1.666666667,0,0,0,5.833333333,0,4.166666667,1.25,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0.833333333,6.25
Season 5 Episode 17,36.80781759,12.70358306,7.817589577,23.12703583,3.908794788,0,0,0,0,0,0,2.280130293,0,0,0,0,8.143322476,0.977198697,0,0,0,0,0.651465798,0,0,0,0,0,0.325732899,3.25732899
Season 5 Episode 18,36.74911661,10.60070671,4.946996466,7.4204947,1.413427562,0,0,2.826855124,0,0,0,0.35335689,0,1.060070671,0,0,6.360424028,0,0,2.473498233,0,0,0,23.32155477,0,0,0,0,0.706713781,1.766784452
Season 5 Episode 19,34.64566929,10.23622047,14.96062992,4.724409449,5.511811024,0,0,2.362204724,0,0,0,4.724409449,0,1.181102362,0.787401575,0,0,0,0,2.362204724,0,0,0.393700787,9.842519685,0.393700787,0,0,0,2.755905512,5.118110236
Season 5 Episode 20,27.46478873,12.32394366,22.88732394,5.985915493,5.633802817,0,0,1.056338028,0,0,0,0.352112676,0,0.704225352,0,3.873239437,0,0,0,0.352112676,0,0,0.352112676,14.08450704,0,0,0,0,1.408450704,3.521126761
Season 5 Episode 21,18.25396825,11.11111111,17.85714286,10.71428571,7.142857143,0,0,0,0,0,0,1.984126984,0,0.396825397,0.396825397,9.920634921,0,0,0,1.984126984,0,0,0.793650794,9.920634921,1.19047619,6.349206349,0,0,1.19047619,0.793650794
Season 5 Episode 22,34.22053232,8.365019011,5.703422053,31.55893536,9.505703422,0,0,0,0,0,0,0,0,1.901140684,0,2.281368821,0,0,0,0.380228137,0,0,0,5.323193916,0,0,0,0,0.380228137,0.380228137
Season 5 Episode 23,27.63636364,10.90909091,12,9.090909091,1.090909091,0,0,0.727272727,0,0,0,0,0,0.363636364,0,8.727272727,13.45454545,0,0,0.727272727,0,0,0,14.18181818,0,0.363636364,0,0,0.363636364,0.363636364
Season 5 Episode 24,29.73856209,9.477124183,9.477124183,14.70588235,3.594771242,0,0,1.633986928,0,0,0,1.633986928,0,3.921568627,2.614379085,7.843137255,0,0.326797386,0,0.653594771,0,0,2.941176471,0,4.248366013,3.267973856,0,0,3.594771242,0.326797386
Season 5 Episode 25,32.43243243,6.563706564,7.335907336,10.81081081,6.177606178,0,0,6.563706564,0,0,0,1.930501931,0,9.652509653,0.386100386,0.772200772,0,0,0,4.247104247,0,0,1.158301158,0,0,8.88030888,0,0,0.386100386,2.702702703
Season 5 Episode 26,22.63374486,9.87654321,10.28806584,16.87242798,4.938271605,0,0,1.234567901,0,0,15.63786008,0.823045267,0,1.646090535,0.823045267,0,5.349794239,0,0,0,0,0,0,4.938271605,0.823045267,1.234567901,0,0,0.823045267,2.057613169
Season 6 Episode 1,31.87919463,14.09395973,9.060402685,6.711409396,12.75167785,0,0,1.677852349,0,0,0,3.355704698,0,2.348993289,1.342281879,0.33557047,0,0,0,3.020134228,0,0,2.013422819,0,0.33557047,2.348993289,0,0,4.026845638,4.697986577
